iter	Passed	Remaining
0	3	3668
1	7	3702
2	11	3881
3	15	3836
4	18	3756
5	22	3765
6	27	3858
7	31	3853
8	34	3792
9	37	3746
10	42	3801
11	45	3782
12	49	3741
13	52	3705
14	56	3716
15	60	3718
16	63	3691
17	67	3666
18	70	3653
19	74	3664
20	78	3655
21	81	3635
22	85	3619
23	89	3658
24	93	3642
25	96	3626
26	100	3608
27	105	3656
28	109	3652
29	112	3637
30	115	3624
31	120	3659
32	124	3654
33	128	3638
34	131	3626
35	137	3679
36	140	3667
37	144	3653
38	147	3645
39	152	3652
40	155	3647
41	159	3634
42	163	3628
43	166	3626
44	170	3626
45	174	3616
46	177	3607
47	181	3595
48	185	3598
49	188	3588
50	192	3580
51	195	3572
52	199	3568
53	203	3564
54	206	3554
55	210	3546
56	213	3537
57	218	3546
58	221	3540
59	225	3531
60	228	3524
61	233	3528
62	237	3527
63	240	3520
64	244	3519
65	248	3521
66	252	3518
67	256	3513
68	259	3507
69	264	3513
70	268	3515
71	272	3514
72	276	3507
73	281	3519
74	284	3514
75	288	3508
76	292	3512
77	298	3527
78	302	3521
79	305	3515
80	309	3509
81	315	3527
82	318	3522
83	322	3514
84	325	3505
85	330	3512
86	333	3504
87	337	3496
88	340	3488
89	345	3497
90	349	3490
91	352	3482
92	356	3473
93	360	3477
94	364	3471
95	367	3463
96	371	3454
97	375	3453
98	379	3450
99	382	3442
100	385	3435
101	390	3433
102	394	3436
103	398	3430
104	402	3427
105	407	3433
106	411	3432
107	415	3428
108	419	3430
109	425	3440
110	429	3437
111	433	3436
112	437	3434
113	442	3436
114	446	3433
115	450	3432
116	455	3439
117	460	3438
118	463	3434
119	467	3430
120	473	3436
121	477	3434
122	481	3431
123	485	3432
124	491	3441
125	495	3436
126	499	3433
127	505	3440
128	509	3439
129	513	3434
130	519	3443
131	522	3438
132	527	3435
133	530	3428
134	535	3430
135	538	3423
136	542	3416
137	545	3408
138	549	3401
139	553	3402
140	557	3398
141	561	3390
142	564	3385
143	569	3384
144	572	3377
145	576	3371
146	580	3366
147	584	3364
148	587	3357
149	591	3350
150	595	3346
151	601	3357
152	605	3353
153	609	3350
154	615	3353
155	618	3348
156	622	3341
157	628	3346
158	632	3345
159	636	3339
160	639	3333
161	643	3327
162	647	3325
163	651	3319
164	654	3313
165	658	3308
166	662	3303
167	665	3297
168	669	3291
169	672	3285
170	676	3279
171	680	3276
172	684	3270
173	688	3266
174	691	3260
175	696	3261
176	700	3256
177	703	3250
178	707	3243
179	711	3243
180	715	3238
181	719	3232
182	722	3225
183	726	3220
184	730	3216
185	733	3211
186	737	3205
187	741	3202
188	745	3199
189	749	3196
190	753	3190
191	756	3184
192	761	3183
193	764	3177
194	768	3170
195	771	3164
196	776	3164
197	779	3158
198	783	3152
199	786	3146
200	791	3144
201	794	3139
202	797	3133
203	801	3127
204	805	3122
205	809	3118
206	812	3113
207	815	3106
208	819	3101
209	823	3098
210	827	3093
211	831	3089
212	834	3084
213	839	3084
214	843	3079
215	847	3074
216	850	3070
217	856	3073
218	860	3069
219	864	3066
220	869	3063
221	873	3061
222	877	3056
223	881	3053
224	885	3049
225	890	3048
226	893	3043
227	897	3040
228	902	3039
229	906	3035
230	911	3033
231	915	3030
232	921	3033
233	925	3030
234	929	3026
235	934	3025
236	939	3023
237	942	3018
238	946	3014
239	952	3017
240	957	3014
241	961	3010
242	965	3008
243	970	3007
244	974	3004
245	978	2999
246	984	3000
247	987	2995
248	991	2990
249	994	2984
250	999	2983
251	1003	2977
252	1006	2973
253	1010	2967
254	1014	2965
255	1018	2960
256	1022	2955
257	1025	2949
258	1029	2946
259	1033	2941
260	1037	2936
261	1040	2930
262	1044	2925
263	1048	2922
264	1052	2918
265	1055	2912
266	1058	2906
267	1063	2904
268	1066	2899
269	1070	2893
270	1073	2888
271	1078	2886
272	1082	2882
273	1085	2877
274	1089	2872
275	1093	2869
276	1097	2864
277	1100	2859
278	1104	2854
279	1109	2853
280	1113	2848
281	1116	2843
282	1120	2838
283	1123	2833
284	1128	2830
285	1131	2825
286	1135	2821
287	1139	2816
288	1144	2814
289	1147	2809
290	1151	2804
